dSFMT-607:2-33-1-7-24:ffcfeef7fdffffff-fdffffb7ffffffff
generated randoms [1, 2)
1.830659940247840 1.888830585752139 1.918187133138310 1.911489621413502 
1.447433020423734 1.984815484782575 1.809912879053475 1.932384928305312 
1.647130138311336 1.975048011464401 1.496094539238827 1.287529766122775 
1.720872400271096 1.343651196575742 1.944201419319978 1.510041012339087 
1.198160231994670 1.977717938492802 1.432354210640864 1.865151119881484 
1.661835577332205 1.919916823715127 1.016161814116975 1.061236876642474 
1.657020201665803 1.515968295633018 1.170337817011869 1.498083632503927 
1.373944038128077 1.776024013049162 1.648247953819312 1.809384033452877 
1.658849427122489 1.624226361778129 1.793282193192899 1.418150074450881 
1.974184898466396 1.646454823689541 1.847320273559470 1.809118627906037 
1.667048221894751 1.286411663053243 1.155204088317981 1.682213297932226 
1.573801753269194 1.746274619982496 1.231756335627674 1.754257884998389 
1.373580598756647 1.245858683898861 1.263329696699342 1.643784926835209 
1.991739661221429 1.695775077436477 1.304036360929938 1.788286328246723 
1.282020763851929 1.389018437063189 1.316837732359095 1.186367893721377 
1.521600398228220 1.695670697446817 1.801474188593036 1.310483347571174 
1.767536558223755 1.013316499340810 1.035820214178957 1.913025313015818 
1.085882414530559 1.498538265674775 1.565692143289249 1.194713626826104 
1.220442929622968 1.418071078484181 1.628079572468167 1.414588651313576 
1.973414323595650 1.335952864903809 1.924560141645969 1.996504348978007 
1.227649329315791 1.986949303242618 1.464361184349696 1.399317071613945 
1.202854496208413 1.924807559160226 1.754751377747643 1.242532156011458 
1.472860525060183 1.543457855579803 1.725259380973327 1.167597852924346 
1.828828854281918 1.032180059069259 1.384947425809647 1.365169792981058 
1.229260523115725 1.026885322979499 1.724920507537188 1.942260917064626 
1.110194250827685 1.876236348029265 1.215242665595382 1.624462865351008 
1.385334045558038 1.439741130846680 1.766796734472626 1.807283255625431 
1.740648026230079 1.299475371900798 1.554377706160201 1.033128594949951 
1.680124690223050 1.261404912422728 1.251998018685758 1.308638863007773 
1.969104537874910 1.991564234882215 1.372648233467908 1.162132287688459 
1.255297056986600 1.976622425863316 1.203426795562164 1.129238781112693 
1.303151768530372 1.304052912642600 1.182222073999099 1.998283546489925 
1.979431449168406 1.840965503938770 1.404040681548679 1.081461420061518 
1.969068408143378 1.313134626934199 1.480781182077382 1.767489483988744 
1.854551669590947 1.052277575875096 1.278266906445821 1.867386466610187 
1.930865667545248 1.529171537940313 1.842869879630991 1.185507596863987 
1.769929561539592 1.521037708545490 1.734986440232703 1.685636641908288 
1.969592327355390 1.185059233313213 1.465220066517736 1.895386647046764 
1.525705262096454 1.313210976884883 1.287057427050020 1.237910351401619 
1.669627367696086 1.019619386456222 1.943804198901382 1.884269893032559 
1.007691230652672 1.213648290890974 1.253893512436150 1.209364055255585 
1.281151264053055 1.174956951258355 1.116078654343138 1.527860865366049 
1.782455068155995 1.709685401306951 1.119405204349748 1.449609210940638 
1.779463222316410 1.663351701990903 1.691810749533786 1.255233407208968 
1.986621908922649 1.732450917462396 1.297865260085410 1.735391660670361 
1.043947080830609 1.937813773502862 1.740378470813075 1.611153528200779 
1.518362287045881 1.472894693025012 1.052740520937893 1.780675232478344 
