generated randoms [0,1)
0.43037718917794243000 0.86626207552792200000 0.21031612179540371000 
0.49022844825609546000 0.30339220044689674000 0.00901152858029319330 
0.13284137388635608000 0.90737800776688959000 0.50768752874312906000 
0.70055282204879754000 0.86925540715911476000 0.06979036426079332500 
0.83918827387135875000 0.61169406194879827000 0.43993985200000685000 
0.34916931266421236000 0.14623594578091215000 0.70145131470532629000 
0.82413365633642188000 0.23163212074393735000 0.02259384621236804100 
0.27024232425324612000 0.32258613145946202000 0.04809796221161444200 
0.93250745119104717000 0.38129773271383294000 0.25352039070375265000 
0.38813952324880896000 0.06566173251735874000 0.12090737161507703000 
0.58457552826632275000 0.08486598603574746500 0.11800365652813505000 
0.09776701332743020800 0.71375723291489379000 0.03027124841814665700 
0.12789842490397185000 0.21450798498880741000 0.27831691946101800000 
0.25887003833385891000 0.34620672207757797000 0.10919969967563703000 
0.42014698730018374000 0.60540072906583609000 0.83585795843580035000 
0.12007478075996980000 0.71647743542105125000 0.89998394149120431000 
0.51803811041683501000 0.49741888329203587000 0.55872260274345242000 
0.81415138930673780000 0.79856735796417522000 0.50292015720755123000 
0.10387288803263761000 0.93055716717041626000 0.87501029064572622000 
0.58301257331988321000 0.59775539283920809000 0.36162547298825687000 
0.60774067425819100000 0.65861761562033450000 0.73492286500339632000 
0.15071506087796904000 0.16723669273133113000 0.71518140208595882000 
0.66829915203896761000 0.27720926475976904000 0.68699753183622492000 
0.12494575441445943000 0.13878606655411918000 0.37251433115351928000 
0.35393187678579219000 0.64497862541848860000 0.04184840127808531200 
0.30899991985816344000 0.42298738170006822000 0.30642560563245591000 
0.39452076550341797000 0.42857103408975861000 0.51272052468602136000 
0.60846387114428779000 0.24216167278106471000 0.82045614789645072000 
0.47652121162182759000 0.90592589362498366000 0.01162027937260412500 
0.91868002987575137000 0.44416106579376780000 0.61268657523143633000 
0.33313193566587063000 0.98396260109865041000 0.17582562277247926000 
0.81035800116421131000 0.34500549350660292000 0.57193136459308924000 
0.87760404289073635000 0.58834058685499757000 0.27363973342479686000 
0.27223460142301614000 0.77533508979475396000 0.59333964168106701000 
0.48389510809629499000 0.97761111999590899000 0.09547897895481916000 
0.90960707393350404000 0.68541052784634293000 0.71838244809483598000 
0.97588454634256006000 0.72393698769554882000 0.76289684839956196000 
0.41829604493970041000 0.01260705739178491500 0.88826458015686516000 
0.34231269747654314000 0.53687596570563323000 0.06786856461410151200 
0.71023386248467468000 0.44443025760274102000 0.30522986080948145000 
0.69667885461660162000 0.01020517357619876700 0.00733259121303575510 
0.99886283793905384000 0.17454270470165612000 0.09682288302923791600 
0.33058484570947688000 0.89787259822061061000 0.36618716558698683000 
0.59364419460906404000 0.61712200469475831000 0.60387763069325162000 
0.95419583692413679000 0.54295567232363395000 0.90515916163179488000 
0.14515794183846031000 0.15946959939368299000 0.30753629636561608000 
0.86477977518732541000 0.92226082638874596000 0.07454777655465827400 
0.22255697312223321000 0.92063234066145627000 0.76729732217280877000 
0.58686645963081818000 0.61226971912619010000 0.96763108103625850000 
0.97187914126908548000 0.31341319319623628000 0.03714015297246908700 
0.06043813180460033700 0.51469485071841170000 0.74248719754532488000 
0.85147391158246633000 0.63409116380760921000 0.37255266425895139000 
0.40306640777961533000 0.09820262375174793100 0.93535199987676920000 
